"","Cell","Paper","Title","Supporting.Table","Column","Gene.Set.Size","Overlap","Odds","P.Value","Adj.P.Value","Id","duplicate_count"
"373","CD4 TCM","PMC9562361","Single cell analysis of cribriform prostate cancer reveals cell intrinsic and tumor microenvironmental pathways of aggressive disease","41467_2022_33780_MOESM3_ESM.xlsx","Table_S42-Table_S42",1635,203,2.17,2e-28,8.9e-25,"41467_2022_33780_MOESM3_ESM $ Table_S42-Table_S42",4
"374","NK","PMC9950534","Single-cell RNA sequencing identifies a population of human liver-type ILC1s","NIHMS1870503-supplement-2.xlsx","DEGs_cluster_batch_1-gene",1762,142,2.71,1.02e-29,9.49e-25,"NIHMS1870503-supplement-2 $ DEGs_cluster_batch_1-gene",6
"375","CD8 TEM","PMC9288051","Super-enhancer profiling identifies novel critical and targetable cancer survival gene LYL1 in pediatric acute myeloid leukemia","13046_2022_2428_MOESM5_ESM.xlsx","Super_enhancers_in_T-ALL3-OVERLAP_GENES",366,75,4.4,2.66e-28,9.55e-25,"13046_2022_2428_MOESM5_ESM $ Super_enhancers_in_T-ALL3-OVERLAP_GENES",3
"376","CD14 Mono","PMC7982650","Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases","Data_Sheet_2.xlsx","Table_S6-Unnamed_1",2028,174,2.36,5.01e-29,9.63e-25,"Data_Sheet_2 $ Table_S6-Unnamed_1",2
"377","CD14 Mono","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc3.xlsx","DORC_GWAS-Categorization_of_DORC_genes_based_on_GWAS_SNP-chromatin_accessibility_peak-overlap_related_to_Figure_5",1071,119,3.06,5.58e-29,9.63e-25,"mmc3 $ DORC_GWAS-Categorization_of_DORC_genes_based_on_GWAS_SNP-chromatin_accessibility_peak-overlap_related_to_Figure_5",3
"378","CD14 Mono","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc6.xlsx","FigR_Stim-FigR_GRN_testing_for_PBMC_resting_and_stimulation_data_related_to_Figure_5_and_Figures_S6",1071,119,3.06,5.58e-29,9.63e-25,"mmc6 $ FigR_Stim-FigR_GRN_testing_for_PBMC_resting_and_stimulation_data_related_to_Figure_5_and_Figures_S6",3
"379","CD14 Mono","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc5.xlsx","CD8-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_CD8_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,119,3.06,6.08e-29,9.63e-25,"mmc5 $ CD8-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_CD8_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"380","CD14 Mono","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc4.xlsx","NK-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_NK_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,119,3.06,6.08e-29,9.63e-25,"mmc4 $ NK-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_NK_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"381","CD14 Mono","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc5.xlsx","B-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_B_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,119,3.06,6.08e-29,9.63e-25,"mmc5 $ B-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_B_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"382","CD14 Mono","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc5.xlsx","CD4-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_CD4_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,119,3.06,6.08e-29,9.63e-25,"mmc5 $ CD4-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_CD4_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"383","CD14 Mono","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc5.xlsx","Mono-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_Monocyte_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,119,3.06,6.08e-29,9.63e-25,"mmc5 $ Mono-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_Monocyte_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"384","CD14 Mono","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc5.xlsx","NK-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_NK_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,119,3.06,6.08e-29,9.63e-25,"mmc5 $ NK-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_NK_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"385","CD14 Mono","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc4.xlsx","B-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_B_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,119,3.06,6.08e-29,9.63e-25,"mmc4 $ B-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_B_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"386","CD14 Mono","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc4.xlsx","CD4-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_CD4_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,119,3.06,6.08e-29,9.63e-25,"mmc4 $ CD4-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_CD4_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"387","CD14 Mono","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc4.xlsx","CD8-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_CD8_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,119,3.06,6.08e-29,9.63e-25,"mmc4 $ CD8-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_CD8_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"388","CD14 Mono","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc4.xlsx","Mono-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_Monocyte_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,119,3.06,6.08e-29,9.63e-25,"mmc4 $ Mono-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_Monocyte_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"389","CD8 TEM","PMC7782707","Single-cell transcriptome profiling of the vaginal wall in women with severe anterior vaginal prolapse","41467_2020_20358_MOESM9_ESM.xlsx","EP-downregulated-gene",1841,191,2.23,2.71e-28,9.68e-25,"41467_2020_20358_MOESM9_ESM $ EP-downregulated-gene",3
"390","CD4 TCM","PMC10055242","Clonal associations of lymphocyte subsets and functional states revealed by single cell antigen receptor profiling of T and B cells in rheumatoid arthritis synovium","media-3.xlsx","CD4_T_Cells-gene",1850,220,2.08,2.31e-28,1.02e-24,"media-3 $ CD4_T_Cells-gene",4
"391","CD4 TCM","PMC8800483","Molecular mechanisms governing circulating immune cell heterogeneity across different species revealed by single‐cell sequencing","CTM2-12-e689-s001.xlsx","9g_Mouse-Unnamed_1",2295,254,1.94,2.42e-28,1.06e-24,"CTM2-12-e689-s001 $ 9g_Mouse-Unnamed_1",4
"392","CD8 TEM","PMC7484178","Therapy-Induced Evolution of Human Lung Cancer Revealed by Single-Cell RNA Sequencing","mmc4.xlsx","6_T-cell_Clusters-gene",1964,199,2.18,2.98e-28,1.06e-24,"mmc4 $ 6_T-cell_Clusters-gene",5
"393","CD8 TEM","PMC7321885","Intratumoral CD4+ T Cells Mediate Anti-tumor Cytotoxicity in Human Bladder Cancer","mmc2.xlsx","CD8NAIVE-names",976,129,2.84,3.25e-28,1.15e-24,"mmc2 $ CD8NAIVE-names",1
"394","CD14 Mono","PMC7982650","Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases","Data_Sheet_2.xlsx","Table_S4-Unnamed_8",2016,173,2.36,7.53e-29,1.17e-24,"Data_Sheet_2 $ Table_S4-Unnamed_8",3
"395","NK","PMC9013654","Immune features of COVID-19 convalescent individuals revealed by a single-cell RNA sequencing","mmc5.xlsx","5-gene",742,88,3.99,1.45e-29,1.18e-24,"mmc5 $ 5-gene",1
"396","CD14 Mono","PMC7439502","Single-cell RNA-seq reveals ectopic and aberrant lung-resident cell populations in idiopathic pulmonary fibrosis","aba1983_Data_S4.txt","gene",2189,182,2.29,8.01e-29,1.21e-24,"aba1983_Data_S4.txt $ gene",3
"397","NK","PMC7921413","Identification of leukemic and pre-leukemic stem cells by clonal tracking from single-cell transcriptomics","41467_2021_21650_MOESM5_ESM.xlsx","002_DE-NK_and_T_cells",1545,131,2.85,2.31e-29,1.66e-24,"41467_2021_21650_MOESM5_ESM $ 002_DE-NK_and_T_cells",4
"398","CD8 TEM","PMC8546983","Systems Biology behind Immunoprotection of Both Sheep and Goats after Sungri/96 PPRV Vaccination","msystems.00820","20-sd001.xls-CD14_CH-Genes",2332,222,2.05,4.78e-28,1.68e-24,"msystems.00820 $ 20-sd001-CD14_CH-Genes",5
"399","CD8 TEM","PMC9681209","Global hypo-methylation in a proportion of glioblastoma enriched for an astrocytic signature is associated with increased invasion and altered immune landscape","elife-77335-supp3.xlsx","NK_FGFBP2-gene",1341,156,2.5,4.89e-28,1.71e-24,"elife-77335-supp3 $ NK_FGFBP2-gene",2
"400","CD4 TCM","PMC8987207","Monoallelic Heb/Tcf12 Deletion Reduces the Requirement for NOTCH1 Hyperactivation in T-Cell Acute Lymphoblastic Leukemia","DataSheet_1.xls","TF_targets_Fig_2A-E2A_Pre-Pro-B-Cells_ChIP-seq",1845,219,2.08,4.16e-28,1.81e-24,"DataSheet_1 $ TF_targets_Fig_2A-E2A_Pre-Pro-B-Cells_ChIP-seq",3
"401","CD4 TCM","PMC8591366","Exposure to Tobacco Smoking Induces a subset of Activated Tumor-resident Tregs in Non-Small Cell Lung Cancer","mmc3.xlsx","Sheet1-Gene_Symbol",1607,200,2.18,4.17e-28,1.81e-24,"mmc3 $ Sheet1-Gene_Symbol",5
"402","CD8 TEM","PMC9001660","Single-cell characterization of leukemic and non-leukemic immune repertoires in CD8+ T-cell large granular lymphocytic leukemia","41467_2022_29173_MOESM5_ESM.xlsx","Fig_2b_cluster_DEGs-gene",1246,149,2.57,5.53e-28,1.91e-24,"41467_2022_29173_MOESM5_ESM $ Fig_2b_cluster_DEGs-gene",3
"403","CD8 TEM","PMC9007392","Non-linear archetypal analysis of single-cell RNA-seq data by deep autoencoders","pcbi.1010025.s048.xlsx","Sheet1-gene",190,54,6.11,5.53e-28,1.91e-24,"pcbi.1010025.s048 $ Sheet1-gene",1
"404","CD8 TEM","PMC7704697","A molecular cell atlas of the human lung from single cell RNA sequencing","NIHMS1624031-supplement-1624031_Supp_Tab4.xlsx","Cluster_37-CD8_Naive_T",279,65,5.01,5.56e-28,1.91e-24,"NIHMS1624031-supplement-1624031_Supp_Tab4 $ Cluster_37-CD8_Naive_T",2
"405","CD8 TEM","PMC8093261","Single-cell profiling reveals the trajectories of natural killer cell differentiation in bone marrow and a stress signature induced by acute myeloid leukemia","41423_2020_574_MOESM9_ESM.xlsx","Table_1D-Unnamed_2",254,62,5.25,6.26e-28,2.14e-24,"41423_2020_574_MOESM9_ESM $ Table_1D-Unnamed_2",2
"406","CD8 TEM","PMC9800604","Dissecting CD8+ T cell pathology of severe SARS-CoV-2 infection by single-cell immunoprofiling","Table_2.xlsx","DEGs_CD8__NK_TEMRA-CD8_NK-like_TEMRA_cells",2162,211,2.1,6.35e-28,2.16e-24,"Table_2 $ DEGs_CD8__NK_TEMRA-CD8_NK-like_TEMRA_cells",4
"407","CD8 TEM","PMC8800483","Molecular mechanisms governing circulating immune cell heterogeneity across different species revealed by single‐cell sequencing","CTM2-12-e689-s003.xlsx","2k_tiger-Unnamed_1",1855,191,2.21,7.1e-28,2.4e-24,"CTM2-12-e689-s003 $ 2k_tiger-Unnamed_1",5
"408","CD8 TEM","PMC8443960","Single-cell immune profiling reveals distinct immune response in asymptomatic COVID-19 patients","41392_2021_753_MOESM3_ESM.xlsx","cluster1-Unnamed_1",1195,145,2.61,7.37e-28,2.48e-24,"41392_2021_753_MOESM3_ESM $ cluster1-Unnamed_1",2
"409","CD8 TEM","PMC7982650","Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases","Data_Sheet_2.xlsx","Table_S8-Unnamed_3",1994,200,2.16,7.85e-28,2.63e-24,"Data_Sheet_2 $ Table_S8-Unnamed_3",4
"410","CD14 Mono","PMC9275597","ScRNA-seq expression of IFI27 and APOC2 identifies four alveolar macrophage superclusters in healthy BALF","LSA-2022-01458_TableS5.xls","Table_S5_DEGs_of_monocyte_and_I-gene",2051,174,2.34,1.93e-28,2.86e-24,"LSA-2022-01458_TableS5 $ Table_S5_DEGs_of_monocyte_and_I-gene",1
"411","CD4 TCM","PMC9396248","Intestinal single-cell atlas reveals novel lymphocytes in pigs with similarities to human cells","LSA-2022-01442_TableS8.xlsx","annot_DGE-gene",1675,205,2.14,6.81e-28,2.93e-24,"LSA-2022-01442_TableS8 $ annot_DGE-gene",3
"412","CD8 TEM","PMC4667439","Functional classification of memory CD8+ T cells by CX3CR1 expression","ncomms9306-s2.xlsx","_vs_--Symbol",1591,173,2.34,9.03e-28,3.01e-24,"ncomms9306-s2 $ _vs_--Symbol",2
"413","CD4 TCM","PMC8409978","HIV infection drives interferon signaling within intestinal SARS-CoV-2 target cells","jciinsight-6-148920-s202.xlsx","Supplemental_Table_2A-Supplemental_Table_2",2380,259,1.91,7.83e-28,3.34e-24,"jciinsight-6-148920-s202 $ Supplemental_Table_2A-Supplemental_Table_2",6
"414","CD4 TCM","PMC9162783","Identification of TCR repertoires in asymptomatic COVID-19 patients by single-cell T-cell receptor sequencing","mmc2.xlsx","1-gene",1165,162,2.43,9.58e-28,4.07e-24,"mmc2 $ 1-gene",3
"415","CD8 TEM","PMC9065417","Accurate Machine Learning Model to Diagnose Chronic Autoimmune Diseases Utilizing Information From B Cells and Monocytes","Table_1.xlsx","T_cells_DEG-Table_S1_DEG_of_PBMC_subpopulation",802,114,3.06,1.24e-27,4.11e-24,"Table_1 $ T_cells_DEG-Table_S1_DEG_of_PBMC_subpopulation",2
"416","CD4 TCM","PMC9001660","Single-cell characterization of leukemic and non-leukemic immune repertoires in CD8+ T-cell large granular lymphocytic leukemia","41467_2022_29173_MOESM5_ESM.xlsx","Fig_2b_cluster_DEGs-gene",1246,169,2.37,1e-27,4.23e-24,"41467_2022_29173_MOESM5_ESM $ Fig_2b_cluster_DEGs-gene",3
"417","NK","PMC9950534","Single-cell RNA sequencing identifies a population of human liver-type ILC1s","NIHMS1870503-supplement-2.xlsx","DEGs_cluster_batch_1-Unnamed_0",1794,142,2.66,6.7e-29,4.35e-24,"NIHMS1870503-supplement-2 $ DEGs_cluster_batch_1-Unnamed_0",6
"418","CD14 Mono","PMC8702862","Vitamin D Treatment Sequence Is Critical for Transcriptome Modulation of Immune Challenged Primary Human Cells","Table_2.xlsx","2055_targets-Ensembl_gene_id",1816,161,2.44,3.2e-28,4.62e-24,"Table_2 $ 2055_targets-Ensembl_gene_id",1
"419","CD4 TCM","PMC9800604","Dissecting CD8+ T cell pathology of severe SARS-CoV-2 infection by single-cell immunoprofiling","Table_2.xlsx","DEGs_CD8__TN-CD8_naive_T_cells",1807,215,2.08,1.1e-27,4.62e-24,"Table_2 $ DEGs_CD8__TN-CD8_naive_T_cells",4
"420","CD8 TEM","PMC9281170","Detection of cell markers from single cell RNA-seq with sc2marker","12859_2022_4817_MOESM4_ESM.xlsx","Hyper_nk-gene",1189,144,2.6,1.42e-27,4.67e-24,"12859_2022_4817_MOESM4_ESM $ Hyper_nk-gene",2
"421","CD8 TEM","PMC9281170","Detection of cell markers from single cell RNA-seq with sc2marker","12859_2022_4817_MOESM4_ESM.xlsx","sc2marker_nk-gene",1189,144,2.6,1.42e-27,4.67e-24,"12859_2022_4817_MOESM4_ESM $ sc2marker_nk-gene",2
"422","CD8 TEM","PMC8135257","Fab-dimerized glycan-reactive antibodies are a structural category of natural antibodies","mmc3.xlsx","GeneList-Data_S5_Gene_list_from_transcriptome_analysis_Related_to_Figure_2",1988,199,2.15,1.45e-27,4.74e-24,"mmc3 $ GeneList-Data_S5_Gene_list_from_transcriptome_analysis_Related_to_Figure_2",5
"423","CD4 TCM","PMC9174272","Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure","41467_2022_30893_MOESM8_ESM.xlsx","NKdim-Gene_symbol",2306,253,1.92,1.24e-27,5.18e-24,"41467_2022_30893_MOESM8_ESM $ NKdim-Gene_symbol",4
"424","CD8 TEM","PMC9520965","Single-cell analysis of immune cell transcriptome during HIV-1 infection and therapy","12865_2022_523_MOESM5_ESM.xlsx","Positive_markers_In_All_Cluster-gene",2272,217,2.05,1.6e-27,5.18e-24,"12865_2022_523_MOESM5_ESM $ Positive_markers_In_All_Cluster-gene",5
"425","CD4 TCM","PMC7870932","Biallelic loss of BCMA as a resistance mechanism to CAR T cell therapy in a patient with multiple myeloma","41467_2021_21177_MOESM3_ESM.xlsx","Baseline_vs_2w_After_first_Inf-Symbol",2320,254,1.92,1.29e-27,5.33e-24,"41467_2021_21177_MOESM3_ESM $ Baseline_vs_2w_After_first_Inf-Symbol",3
"426","CD8 TEM","PMC4920892","T-bet Activates Th1 Genes through Mediator and the Super Elongation Complex","mmc3.xlsx","Table_S2_Human_super-enhancers-Closest_Gene_TSS",284,65,4.92,1.66e-27,5.35e-24,"mmc3 $ Table_S2_Human_super-enhancers-Closest_Gene_TSS",2
"427","CD14 Mono","PMC8702862","Vitamin D Treatment Sequence Is Critical for Transcriptome Modulation of Immune Challenged Primary Human Cells","Table_2.xlsx","2055_targets-Gene",1819,161,2.44,3.86e-28,5.45e-24,"Table_2 $ 2055_targets-Gene",1
"428","CD8 TEM","PMC6899450","TCR and Inflammatory Signals Tune Human MAIT Cells to Exert Specific Tissue Repair and Effector Functions","mmc2.xlsx","Sheet_1-Gene_Name_1",955,126,2.84,1.81e-27,5.83e-24,"mmc2 $ Sheet_1-Gene_Name_1",2
"429","CD8 TEM","PMC7212672","Sampling time-dependent artifacts in single-cell genomics studies","13059_2020_2032_MOESM6_ESM.xlsx","Cytotoxic-Differentially_expressed_genes_in_cultured_cytotoxic_CD8_T-cells_and_NK_cells_activated_with_anti-CD3_antibody",1915,194,2.18,1.87e-27,5.97e-24,"13059_2020_2032_MOESM6_ESM $ Cytotoxic-Differentially_expressed_genes_in_cultured_cytotoxic_CD8_T-cells_and_NK_cells_activated_with_anti-CD3_antibody",4
"430","CD8 TEM","PMC8520209","Correction to: Expanding the potential genes of inborn errors of immunity through protein interactions","12864_2021_8013_MOESM8_ESM.xlsx","Sheet1-Gene",1400,159,2.44,1.92e-27,6.09e-24,"12864_2021_8013_MOESM8_ESM $ Sheet1-Gene",4
"431","CD8 TEM","PMC8364696","Expanding the potential genes of inborn errors of immunity through protein interactions","12864_2021_7909_MOESM8_ESM.xlsx","Sheet1-Gene",1400,159,2.44,1.92e-27,6.09e-24,"12864_2021_7909_MOESM8_ESM $ Sheet1-Gene",4
"432","CD4 TCM","PMC10565639","Single‐cell profiling of muscle‐infiltrating T cells in idiopathic inflammatory myopathies","EMMM-15-e17240-s003.xlsx","Data_Set_EV2-Data_Set_EV2_Differentially_expressed_genes_per_cluster_in_muscle_T_cells_from_patients_with_idiopathic_inflammatory_myopathies",2378,257,1.9,1.52e-27,6.23e-24,"EMMM-15-e17240-s003 $ Data_Set_EV2-Data_Set_EV2_Differentially_expressed_genes_per_cluster_in_muscle_T_cells_from_patients_with_idiopathic_inflammatory_myopathies",5
"433","CD8 TEM","PMC10165782","Identification of potential resistance mechanisms and therapeutic targets for the relapse of BCMA CAR-T therapy in relapsed/refractory multiple myeloma through single-cell sequencing","40164_2023_402_MOESM7_ESM.csv","Unnamed_0",1486,165,2.39,2.01e-27,6.35e-24,"40164_2023_402_MOESM7_ESM.csv $ Unnamed_0",4
"434","CD16 Mono","PMC7921413","Identification of leukemic and pre-leukemic stem cells by clonal tracking from single-cell transcriptomics","41467_2021_21650_MOESM5_ESM.xlsx","002_DE-CD34-_Blasts_Calprotectin_AZU1",2263,163,2.41,1.05e-28,6.82e-24,"41467_2021_21650_MOESM5_ESM $ 002_DE-CD34-_Blasts_Calprotectin_AZU1",2
"435","CD4 TCM","PMC9729230","Identification of human progenitors of exhausted CD8+ T cells associated with elevated IFN-γ response in early phase of viral infection","41467_2022_35281_MOESM7_ESM.xlsx","MCRL-GPR_PAGA_Clusters_DGE-gene",1335,176,2.31,1.91e-27,7.8e-24,"41467_2022_35281_MOESM7_ESM $ MCRL-GPR_PAGA_Clusters_DGE-gene",1
"436","CD4 TCM","PMC9523374","Proteomic and phosphoproteomic landscapes of acute myeloid leukemia","bloodBLD2022016033-suppl7.xlsx","TurboID_Raw_Spectral_Counts-Protein",2179,243,1.95,1.96e-27,7.8e-24,"bloodBLD2022016033-suppl7 $ TurboID_Raw_Spectral_Counts-Protein",3
"437","CD4 TCM","PMC9523374","Proteomic and phosphoproteomic landscapes of acute myeloid leukemia","10.1182","2022016033_bloodbld2022016033-suppl7.xlsx-Normalized_Counts_per_10k-Protein",2179,243,1.95,1.96e-27,7.8e-24,"10.1182 $ 2022016033_bloodbld2022016033-suppl7-Normalized_Counts_per_10k-Protein",3
"438","CD4 TCM","PMC9523374","Proteomic and phosphoproteomic landscapes of acute myeloid leukemia","10.1182","2022016033_bloodbld2022016033-suppl7.xlsx-TurboID_Raw_Spectral_Counts-Protein",2179,243,1.95,1.96e-27,7.8e-24,"10.1182 $ 2022016033_bloodbld2022016033-suppl7-TurboID_Raw_Spectral_Counts-Protein",3
"439","CD4 TCM","PMC9523374","Proteomic and phosphoproteomic landscapes of acute myeloid leukemia","bloodBLD2022016033-suppl7.xlsx","Normalized_Counts_per_10k-Protein",2179,243,1.95,1.96e-27,7.8e-24,"bloodBLD2022016033-suppl7 $ Normalized_Counts_per_10k-Protein",3
"440","CD4 TCM","PMC7744012","Cell-Type-Specific Immune Dysregulation in Severely Ill COVID-19 Patients","mmc7.xlsx","Table_6_1_Total_CD4_T_cells_DEG-Unnamed_5",1173,162,2.42,2.08e-27,8.25e-24,"mmc7 $ Table_6_1_Total_CD4_T_cells_DEG-Unnamed_5",4
"441","CD14 Mono","PMC9275597","ScRNA-seq expression of IFI27 and APOC2 identifies four alveolar macrophage superclusters in healthy BALF","LSA-2022-01458_TableS5.xls","Table_S5_DEGs_of_monocyte_and_I-Unnamed_0",2109,176,2.3,6.03e-28,8.33e-24,"LSA-2022-01458_TableS5 $ Table_S5_DEGs_of_monocyte_and_I-Unnamed_0",1
"442","CD8 TEM","PMC9293955","Immunodeficiency syndromes differentially impact the functional profile of SARS-CoV-2-specific T cells elicited by mRNA vaccination","mmc3.xlsx","Table_S5_CD8_clusters-gene",2122,207,2.1,2.66e-27,8.35e-24,"mmc3 $ Table_S5_CD8_clusters-gene",4
"443","CD4 TCM","PMC9562361","Single cell analysis of cribriform prostate cancer reveals cell intrinsic and tumor microenvironmental pathways of aggressive disease","41467_2022_33780_MOESM3_ESM.xlsx","Table_S50-Table_S50",1578,196,2.17,2.18e-27,8.6e-24,"41467_2022_33780_MOESM3_ESM $ Table_S50-Table_S50",2
"444","CD14 Mono","PMC7921413","Identification of leukemic and pre-leukemic stem cells by clonal tracking from single-cell transcriptomics","41467_2021_21650_MOESM5_ESM.xlsx","002_DE-CD34-_Blasts_Calprotectin-AZU1",2405,191,2.19,6.91e-28,9.35e-24,"41467_2021_21650_MOESM5_ESM $ 002_DE-CD34-_Blasts_Calprotectin-AZU1",4
"445","CD4 TCM","PMC3419980","Depletion of RUNX1/ETO in t(8;21) AML cells leads to genome-wide changes in chromatin structure and transcription factor binding","leu201249x3.xls","genes_list_all-All_genes_in_patients_A_B",1972,227,2.02,2.46e-27,9.57e-24,"leu201249x3 $ genes_list_all-All_genes_in_patients_A_B",4
"446","CD4 TCM","PMC9763233","Single-cell RNA sequencing reveals intrahepatic and peripheral immune characteristics related to disease phases in HBV-infected patients","gutjnl-2021-325915supp004.xlsx","B-gene",2209,245,1.94,2.46e-27,9.57e-24,"gutjnl-2021-325915supp004 $ B-gene",5
"447","CD16 Mono","PMC9307320","Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration","si_table_6_ddac043.xlsx","macrophage-inf-ensembl_id",1348,120,2.98,1.64e-28,9.71e-24,"si_table_6_ddac043 $ macrophage-inf-ensembl_id",2
"448","CD8 TEM","PMC10028295","Tissue specific imprinting on innate lymphoid cells during homeostasis and disease process revealed by integrative inference of single-cell transcriptomics","Table_2.xlsx","NK_c2-gene",323,69,4.59,3.14e-27,9.81e-24,"Table_2 $ NK_c2-gene",2
"449","CD8 TEM","PMC7744012","Cell-Type-Specific Immune Dysregulation in Severely Ill COVID-19 Patients","mmc4.xlsx","Table_3_1_DEG_COVID_vs_Healthy-CD8_T_cells_Differentially_expressed_genes_between_healthy_and_COVID-19_patients",1322,153,2.49,3.16e-27,9.81e-24,"mmc4 $ Table_3_1_DEG_COVID_vs_Healthy-CD8_T_cells_Differentially_expressed_genes_between_healthy_and_COVID-19_patients",3
"450","CD8 TEM","PMC7982650","Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases","Data_Sheet_2.xlsx","Table_S6-Unnamed_3",2125,207,2.09,3.21e-27,9.93e-24,"Data_Sheet_2 $ Table_S6-Unnamed_3",4
"451","CD4 TCM","PMC3185410","Next-generation insights into regulatory T cells: expression profiling and FoxP3 occupancy in Human","supp_gkr444_Table_S1_Activation_specific_genesets.xlsx","CD4_Th_act_vs_rest-Symbol",1705,206,2.12,2.7e-27,1.04e-23,"supp_gkr444_Table_S1_Activation_specific_genesets $ CD4_Th_act_vs_rest-Symbol",3
"452","CD8 TEM","PMC9399107","scRNA-seq of gastric tumor shows complex intercellular interaction with an alternative T cell exhaustion trajectory","41467_2022_32627_MOESM6_ESM.xlsx","20_T-cell_subsets-gene_name_CD8_C4_GZMK",481,85,3.8,3.39e-27,1.04e-23,"41467_2022_32627_MOESM6_ESM $ 20_T-cell_subsets-gene_name_CD8_C4_GZMK",1
"453","CD8 TEM","PMC10165782","Identification of potential resistance mechanisms and therapeutic targets for the relapse of BCMA CAR-T therapy in relapsed/refractory multiple myeloma through single-cell sequencing","40164_2023_402_MOESM7_ESM.csv","gene",1466,163,2.39,3.91e-27,1.2e-23,"40164_2023_402_MOESM7_ESM.csv $ gene",4
"454","CD4 TCM","PMC4065264","MicroRNA Regulation of Bovine Monocyte Inflammatory and Metabolic Networks in an In Vivo Infection Model","supp_g3.113.009936_TableS5.xls","Up-regulated_genes_MIM-Gene_ID",1770,211,2.09,3.14e-27,1.21e-23,"supp_g3.113.009936_TableS5 $ Up-regulated_genes_MIM-Gene_ID",2
"455","CD16 Mono","PMC10060809","Identification of new co-diagnostic genes for sepsis and metabolic syndrome using single-cell data analysis and machine learning algorithms","DataSheet7.CSV","Unnamed_0",1576,131,2.79,2.28e-28,1.24e-23,"DataSheet7.CSV $ Unnamed_0",2
