Cell,Feature,p value,adjusted p value
CD16 Mono,WSB1,1.01983E-12,1.16187E-10
CD16 Mono,DENND6A,1.46305E-12,1.65885E-10
CD16 Mono,ALKBH7,1.51269E-12,1.70696E-10
CD16 Mono,ZNF77,2.50581E-12,2.81422E-10
CD16 Mono,CXorf40B,2.5496E-12,2.8499E-10
CD16 Mono,LINC01800,2.63765E-12,2.93448E-10
CD16 Mono,BCAR4,2.89303E-12,3.20355E-10
CD16 Mono,GPD1L,3.08616E-12,3.40152E-10
CD16 Mono,C16orf47,3.64487E-12,3.99873E-10
CD16 Mono,MTSS1,3.92194E-12,4.28287E-10
CD16 Mono,SELENOH,4.34857E-12,4.72697E-10
CD16 Mono,GPR137,5.16675E-12,5.59071E-10
CD16 Mono,BFAR,5.24465E-12,5.6492E-10
CD16 Mono,PRKG2,6.28635E-12,6.74061E-10
CD16 Mono,PTGER2,6.62578E-12,7.07257E-10
CD16 Mono,FBRSL1,7.54632E-12,8.01907E-10
CD16 Mono,LRRC14,1.00881E-11,1.06248E-09
CD16 Mono,MAP2K7,1.00881E-11,1.06248E-09
CD16 Mono,GAA,1.04207E-11,1.09265E-09
CD16 Mono,RAB36,1.29396E-11,1.35079E-09
CD16 Mono,LRRC25,2.2164E-11,2.3036E-09
CD16 Mono,EPG5,2.8126E-11,2.91049E-09
CD16 Mono,LINC01504,3.01349E-11,3.10481E-09
CD16 Mono,ATP6V1G1,3.13152E-11,3.21245E-09
CD16 Mono,MIR3155A,3.21422E-11,3.28308E-09
CD16 Mono,AURKAIP1,3.88532E-11,3.93464E-09
CD16 Mono,METTL3,3.88532E-11,3.93464E-09
CD16 Mono,GNL3L,3.95033E-11,3.98345E-09
CD16 Mono,SLC6A3,4.09867E-11,4.11551E-09
CD16 Mono,VAMP3,4.31021E-11,4.30966E-09
CD16 Mono,MSN,5.12696E-11,5.10477E-09
CD16 Mono,GLIPR2,6.7398E-11,6.68256E-09
CD16 Mono,RPAP3,7.28222E-11,7.19028E-09
CD16 Mono,DTHD1,8.38351E-11,8.24332E-09
CD16 Mono,CAND1.11,8.68443E-11,8.50392E-09
CD16 Mono,SMAP2,8.75595E-11,8.53868E-09
CD16 Mono,FARP2,1.00794E-10,9.74902E-09
CD16 Mono,RPL14,1.00794E-10,9.74902E-09
CD16 Mono,TMEM87B,1.02462E-10,9.8701E-09
CD16 Mono,BSG,1.09788E-10,1.0533E-08
CD16 Mono,EIF4G1,1.32779E-10,1.26874E-08
CD16 Mono,SHQ1,1.50175E-10,1.4292E-08
CD16 Mono,YY1AP1,1.92205E-10,1.82187E-08
CD16 Mono,EMC8,1.95105E-10,1.842E-08
CD16 Mono,WDR43,2.49949E-10,2.35041E-08
CD16 Mono,SNORA3B,3.0597E-10,2.86583E-08
CD16 Mono,MEGF8,3.10872E-10,2.90029E-08
CD16 Mono,CYP17A1,3.61437E-10,3.35881E-08
CD16 Mono,PTMA,3.67587E-10,3.40164E-08
CD16 Mono,NIP7,3.68916E-10,3.40164E-08
CD16 Mono,CENPH,3.71247E-10,3.40986E-08
CD16 Mono,OAZ1,3.80663E-10,3.48284E-08
CD16 Mono,TIGD4,3.9853E-10,3.63229E-08
CD16 Mono,CALCOCO2,4.28033E-10,3.88624E-08
CD16 Mono,PMAIP1,4.47036E-10,4.04329E-08
CD16 Mono,SEC23IP,5.11941E-10,4.5607E-08
CD16 Mono,VIPAS39,5.11941E-10,4.5607E-08
CD16 Mono,COPS2,5.11941E-10,4.5607E-08
CD16 Mono,MED29,5.11941E-10,4.5607E-08
CD16 Mono,ARL6IP5,5.21001E-10,4.62403E-08
CD16 Mono,RALGPS1,5.38114E-10,4.75809E-08
CD16 Mono,AP1B1,6.62265E-10,5.83408E-08
CD16 Mono,MIR23A,7.42302E-10,6.51494E-08
CD16 Mono,CDCP1,1.02312E-09,8.94647E-08
CD16 Mono,MFNG,1.20703E-09,1.05158E-07
CD16 Mono,NFATC1,1.21592E-09,1.05544E-07
CD16 Mono,LOC102723385,1.27027E-09,1.09859E-07
CD16 Mono,DNAI2,1.40714E-09,1.21254E-07
CD16 Mono,SLC25A5,1.47092E-09,1.25774E-07
CD16 Mono,CXorf40A,1.47092E-09,1.25774E-07
CD16 Mono,MAFB,1.47552E-09,1.25774E-07
CD16 Mono,EML4,1.5511E-09,1.31744E-07
CD16 Mono,ZNF3,1.61275E-09,1.3649E-07
CD16 Mono,TBCE,1.74604E-09,1.46723E-07
CD16 Mono,SIGMAR1,1.74604E-09,1.46723E-07
CD16 Mono,BNIP2,1.784E-09,1.49383E-07
CD16 Mono,ZDHHC14,1.83792E-09,1.53356E-07
CD16 Mono,BCL2L11,1.92292E-09,1.59886E-07
CD16 Mono,CD46,2.01657E-09,1.67086E-07
CD16 Mono,HRK,2.12063E-09,1.75096E-07
CD16 Mono,NR1D1,2.1508E-09,1.76971E-07
CD16 Mono,ANKRD13D,2.3188E-09,1.90134E-07
CD16 Mono,DARS,2.58957E-09,2.11603E-07
CD16 Mono,LINC00523,2.72942E-09,2.22264E-07
CD16 Mono,MDM4,3.5488E-09,2.88E-07
CD16 Mono,LOC100507144,3.64522E-09,2.94815E-07
CD16 Mono,CCNI,3.68044E-09,2.96651E-07
CD16 Mono,EHMT1,4.38641E-09,3.52355E-07
CD16 Mono,ATP6V0D1,4.51675E-09,3.61599E-07
CD16 Mono,MAGIX,4.63039E-09,3.69449E-07
CD16 Mono,CH25H,4.68312E-09,3.72402E-07
CD16 Mono,NELFCD,4.88716E-09,3.87328E-07
CD16 Mono,UCP2,5.12971E-09,4.05195E-07
CD16 Mono,BID,5.50503E-09,4.33398E-07
CD16 Mono,ZNF438,5.58445E-09,4.38195E-07
CD16 Mono,LOC388780,5.60706E-09,4.38516E-07
CD16 Mono,DTWD2,5.712E-09,4.43794E-07
CD16 Mono,ZSCAN22,5.712E-09,4.43794E-07
CD16 Mono,SLC44A2,6.23939E-09,4.83185E-07
CD16 Mono,MS4A4A,6.26846E-09,4.83856E-07
CD16 Mono,CYTIP,6.41369E-09,4.93459E-07
CD16 Mono,BRCC3,6.63393E-09,5.08752E-07
CD16 Mono,C19orf71,6.68385E-09,5.10926E-07
CD16 Mono,SLC25A1,6.71097E-09,5.1135E-07
CD16 Mono,AIMP2,6.76626E-09,5.1391E-07
CD16 Mono,MIR5684,7.62476E-09,5.77265E-07
CD16 Mono,SLC2A6,7.97799E-09,6.02084E-07
CD16 Mono,SLC17A9,8.19395E-09,6.16419E-07
CD16 Mono,THADA,1.08003E-08,8.09923E-07
CD16 Mono,PPP3R1,1.09369E-08,8.17576E-07
CD16 Mono,TNFAIP3,1.11324E-08,8.29577E-07
CD16 Mono,CD19,1.15061E-08,8.54732E-07
CD16 Mono,PDE2A,1.15682E-08,8.56659E-07
CD16 Mono,HUS1,1.21883E-08,8.99768E-07
CD16 Mono,SYTL3,1.29856E-08,9.55649E-07
CD16 Mono,JUNB,1.31137E-08,9.62089E-07
CD16 Mono,ARHGEF2,1.52608E-08,1.11616E-06
CD16 Mono,SCAMP1-AS1,1.64936E-08,1.20261E-06
CD16 Mono,NDUFA2,1.79327E-08,1.30353E-06
CD16 Mono,SEMA3C,1.84105E-08,1.33417E-06
CD16 Mono,ATF3,1.88056E-08,1.35865E-06
CD16 Mono,UBXN4,2.15493E-08,1.55214E-06
CD16 Mono,THG1L,2.30712E-08,1.65672E-06
CD16 Mono,ZBTB48,2.33175E-08,1.66935E-06
CD16 Mono,KIAA0100,2.40193E-08,1.71441E-06
CD16 Mono,EFNA4,2.56983E-08,1.82875E-06
CD16 Mono,ANKRD34A,2.62743E-08,1.86414E-06
CD16 Mono,TRA2B,2.71298E-08,1.91909E-06
CD16 Mono,MIR4526,2.82488E-08,1.99229E-06
CD16 Mono,MIR29B2,3.22223E-08,2.26579E-06
CD16 Mono,SLC15A4,3.25763E-08,2.2839E-06
CD16 Mono,PARVB,3.47418E-08,2.42854E-06
CD16 Mono,ADGRG3,3.67392E-08,2.56061E-06
CD16 Mono,NXN,4.01229E-08,2.78672E-06
CD16 Mono,TFE3,4.02185E-08,2.78672E-06
CD16 Mono,DECR2,4.25842E-08,2.94204E-06
CD16 Mono,MIR4296,4.89522E-08,3.37215E-06
CD16 Mono,MRPL36,5.23216E-08,3.59381E-06
CD16 Mono,CENPBD1,5.38842E-08,3.65886E-06
CD16 Mono,DCAF8,5.40406E-08,3.65886E-06
CD16 Mono,SMARCC1,5.40406E-08,3.65886E-06
CD16 Mono,DPP8,5.40406E-08,3.65886E-06
CD16 Mono,SNRPB,5.40406E-08,3.65886E-06
CD16 Mono,MTMR14,5.52136E-08,3.72763E-06
CD16 Mono,AP1M1,5.88339E-08,3.96076E-06
CD16 Mono,SF3A3,5.97786E-08,4.01296E-06
CD16 Mono,TMEM9B-AS1,6.47326E-08,4.33324E-06
CD16 Mono,OST4,6.66043E-08,4.44247E-06
CD16 Mono,POLQ,6.69267E-08,4.44247E-06
CD16 Mono,BRD8,6.69267E-08,4.44247E-06
CD16 Mono,SAPCD2,6.842E-08,4.5289E-06
CD16 Mono,ZCCHC2,7.9911E-08,5.27479E-06
CD16 Mono,MED13L,8.3755E-08,5.51317E-06
CD16 Mono,ZFHX3,8.49768E-08,5.5781E-06
CD16 Mono,SLC10A3,8.80771E-08,5.76564E-06
CD16 Mono,PARP4,9.37641E-08,6.12101E-06
CD16 Mono,EMP3,1.04004E-07,6.77085E-06
CD16 Mono,SLC9A1,1.06244E-07,6.8977E-06
CD16 Mono,CREB3L1,1.34903E-07,8.73443E-06
CD16 Mono,MYOM1,1.43129E-07,9.24179E-06
CD16 Mono,RSPH3,1.49279E-07,9.61269E-06
CD16 Mono,GLB1,1.56351E-07,1.00137E-05
CD16 Mono,POLR2G,1.56351E-07,1.00137E-05
CD16 Mono,NLRP3,1.60511E-07,1.02524E-05
CD16 Mono,MAST3,1.71706E-07,1.0938E-05
CD16 Mono,MIR4777,1.78068E-07,1.13128E-05
CD16 Mono,FAM71A,1.83325E-07,1.16157E-05
CD16 Mono,TRAP1,1.99595E-07,1.26128E-05
CD16 Mono,THAP3,2.15612E-07,1.35168E-05
CD16 Mono,PTDSS2,2.15612E-07,1.35168E-05
CD16 Mono,MIR4515,2.15612E-07,1.35168E-05
CD16 Mono,PCSK4,2.17918E-07,1.36254E-05
CD16 Mono,C1orf43,2.31618E-07,1.44438E-05
CD16 Mono,LRP1,2.42493E-07,1.50823E-05
CD16 Mono,NBEAL2,2.56608E-07,1.59184E-05
CD16 Mono,C4BPA,2.68491E-07,1.66121E-05
CD16 Mono,SCIMP,2.71454E-07,1.67517E-05
CD16 Mono,LGALS2,2.79801E-07,1.72219E-05
CD16 Mono,CAPZB,2.83273E-07,1.73905E-05
CD16 Mono,EVI5,3.00144E-07,1.83786E-05
CD16 Mono,DCLK3,3.12342E-07,1.90762E-05
CD16 Mono,RNF215,3.22679E-07,1.96569E-05
CD16 Mono,PRR7-AS1,3.61685E-07,2.19765E-05
CD16 Mono,SPN,4.1875E-07,2.53788E-05
CD16 Mono,ZNF749,4.33926E-07,2.62292E-05
CD16 Mono,H3F3A,4.35959E-07,2.62292E-05
CD16 Mono,RHOF,4.36102E-07,2.62292E-05
CD16 Mono,PLK3,4.45824E-07,2.67461E-05
CD16 Mono,POLG,4.60574E-07,2.75612E-05
CD16 Mono,REL,4.70825E-07,2.81036E-05
CD16 Mono,PTMS,5.1817E-07,3.0852E-05
CD16 Mono,TUBB4A,5.31458E-07,3.15638E-05
CD16 Mono,RUBCN,5.34356E-07,3.16566E-05
CD16 Mono,ZNF433-AS1,5.58853E-07,3.30253E-05
CD16 Mono,SLC27A2,5.66037E-07,3.33113E-05
CD16 Mono,MIR4435-2HG,5.66504E-07,3.33113E-05
CD16 Mono,CDC42BPB,5.69383E-07,3.33977E-05
CD16 Mono,TMEM185B,5.82575E-07,3.40871E-05
CD16 Mono,RTN4IP1,6.0638E-07,3.53926E-05
CD16 Mono,TMEM253,6.1086E-07,3.55665E-05
CD16 Mono,SPIDR,6.53401E-07,3.78925E-05
CD16 Mono,TTYH3,6.55732E-07,3.78925E-05
CD16 Mono,WWC2-AS2,6.60405E-07,3.78925E-05
CD16 Mono,ATP5MF-PTCD1,6.60405E-07,3.78925E-05
CD16 Mono,MRPL11,6.60405E-07,3.78925E-05
CD16 Mono,LINC01480,6.60405E-07,3.78925E-05
CD16 Mono,PRR11,7.53771E-07,4.31452E-05
CD16 Mono,PPM1M,7.55727E-07,4.31529E-05
CD16 Mono,ACAA1,8.24671E-07,4.69765E-05
CD16 Mono,PML,8.61533E-07,4.89586E-05
CD16 Mono,SERPINB1,8.69553E-07,4.92962E-05
CD16 Mono,FLNA,8.99488E-07,5.08715E-05
CD16 Mono,MNT,9.78383E-07,5.52017E-05
CD16 Mono,CNP,9.88901E-07,5.56627E-05
CD16 Mono,ZBTB43,1.00711E-06,5.65533E-05
CD16 Mono,MFAP4,1.01844E-06,5.70545E-05
CD16 Mono,LINC01063,1.03674E-06,5.79426E-05
CD16 Mono,BIRC6,1.04504E-06,5.81682E-05
CD16 Mono,GRPEL2,1.04814E-06,5.81682E-05
CD16 Mono,ZNF627,1.04814E-06,5.81682E-05
CD16 Mono,VARS,1.06554E-06,5.89958E-05
CD16 Mono,LOC102724009,1.15209E-06,6.36387E-05
CD16 Mono,MIR4513,1.21508E-06,6.68337E-05
CD16 Mono,TMBIM1,1.21816E-06,6.68337E-05
CD16 Mono,TOM1,1.21839E-06,6.68337E-05
CD16 Mono,C10orf91,1.29422E-06,7.08292E-05
CD16 Mono,LINC01629,1.31816E-06,7.19734E-05
CD16 Mono,INSR,1.4828E-06,8.0777E-05
CD16 Mono,MIR4271,1.63164E-06,8.8681E-05
CD16 Mono,NFAT5,1.71618E-06,9.30625E-05
CD16 Mono,COX5A,1.72844E-06,9.35131E-05
CD16 Mono,MCCC2,1.74937E-06,9.44303E-05
CD16 Mono,PKN1,1.80192E-06,9.70458E-05
CD16 Mono,RIPOR1,1.8144E-06,9.74964E-05
CD16 Mono,BCDIN3D-AS1,1.91643E-06,0.000102672
CD16 Mono,SFT2D3,1.92372E-06,0.000102672
CD16 Mono,ACAD9,1.92372E-06,0.000102672
CD16 Mono,MMP17,1.98967E-06,0.000105953
CD16 Mono,RALBP1,2.03022E-06,0.00010787
CD16 Mono,ARFGAP2,2.1231E-06,0.000112553
CD16 Mono,ADCY9,2.33241E-06,0.000123373
CD16 Mono,SMPD3,2.49789E-06,0.000131832
CD16 Mono,ST7L,2.70422E-06,0.000142404
CD16 Mono,MIR6737,2.80176E-06,0.000147213
CD16 Mono,LOC102725254,2.95958E-06,0.000155126
CD16 Mono,MIR4669,2.96612E-06,0.000155126
CD16 Mono,ZSWIM8,2.97199E-06,0.000155126
CD16 Mono,ENGASE,2.98071E-06,0.000155239
CD16 Mono,LRMP,3.03031E-06,0.000157476
CD16 Mono,TBC1D22B,3.08658E-06,0.00016005
CD16 Mono,ZC3H3,3.17288E-06,0.000164165
CD16 Mono,PCED1B-AS1,3.21597E-06,0.000166033
CD16 Mono,HSBP1,3.2475E-06,0.000167296
CD16 Mono,LPCAT2,3.36615E-06,0.000173032
CD16 Mono,LIMK2,3.52773E-06,0.000180945
CD16 Mono,DNASE2,3.92869E-06,0.000201076
CD16 Mono,TPCN2,4.0418E-06,0.000206419
CD16 Mono,MRAS,4.15032E-06,0.000211506
CD16 Mono,SNX32,4.356E-06,0.000221511
CD16 Mono,TAF9B,4.68467E-06,0.000237714
CD16 Mono,ACP5,5.15384E-06,0.000260963
CD16 Mono,SPNS1,5.19193E-06,0.000262331
CD16 Mono,MAN2B2,5.33888E-06,0.000269182
CD16 Mono,LOC101929679,5.37023E-06,0.000270188
CD16 Mono,CMTM6,5.55725E-06,0.000279004
CD16 Mono,ANKS3,5.69429E-06,0.00028528
CD16 Mono,NLK,5.74155E-06,0.000287041
CD16 Mono,FASN,6.09428E-06,0.000304034
CD16 Mono,LDB1,6.12534E-06,0.000304941
CD16 Mono,ARHGAP27,6.14541E-06,0.000305299
CD16 Mono,PNO1,6.60368E-06,0.000327379
CD16 Mono,PEF1,6.61838E-06,0.000327423
CD16 Mono,BTBD2,6.69619E-06,0.000330582
CD16 Mono,EIF1,6.81644E-06,0.000335819
CD16 Mono,SPATA5L1,6.90921E-06,0.000339684
CD16 Mono,HGFAC,7.16759E-06,0.000351657
CD16 Mono,ISG15,7.31643E-06,0.000356137
CD16 Mono,NRBP1,7.33404E-06,0.000356137
CD16 Mono,DPY30,7.33404E-06,0.000356137
CD16 Mono,SLC30A9,7.33404E-06,0.000356137
CD16 Mono,TAP2,7.33404E-06,0.000356137
CD16 Mono,HRH2,7.44502E-06,0.000360787
CD16 Mono,LOC101927851,7.48305E-06,0.000361889
CD16 Mono,MIR6829,7.66902E-06,0.000370128
CD16 Mono,ZNF621,7.8005E-06,0.000375708
CD16 Mono,MED16,7.88288E-06,0.000378906
CD16 Mono,CRAT,7.91781E-06,0.000379815
CD16 Mono,PPM1J,8.20309E-06,0.000392704
CD16 Mono,ZSWIM7,8.25429E-06,0.000394359
CD16 Mono,FAM208A,8.40382E-06,0.000400695
CD16 Mono,KMT2D,8.58733E-06,0.000408622
CD16 Mono,CCDC114,8.72627E-06,0.000414402
CD16 Mono,MIR658,8.76577E-06,0.000415445
CD16 Mono,SEMA4C,8.82974E-06,0.000417642
CD16 Mono,RPL38,8.86299E-06,0.000418379
CD16 Mono,PDPK1,8.98637E-06,0.00042336
CD16 Mono,GPX4,9.60529E-06,0.00045162
CD16 Mono,CCNE1,9.83955E-06,0.000461719
CD16 Mono,TMEM179B,9.93796E-06,0.000465415
CD16 Mono,TEX44,1.00272E-05,0.000468669
CD16 Mono,TALDO1,1.01775E-05,0.000474759
CD16 Mono,DOCK5,1.07904E-05,0.000502357
CD16 Mono,ENTPD1,1.14442E-05,0.000531752
CD16 Mono,SCARB1,1.16756E-05,0.000541105
CD16 Mono,SLC16A3,1.16912E-05,0.000541105
CD16 Mono,PARVG,1.18274E-05,0.000545829
CD16 Mono,LINC01232,1.18393E-05,0.000545829
CD16 Mono,USP4,1.1919E-05,0.000548434
CD16 Mono,CYP2W1,1.22047E-05,0.000559409
CD16 Mono,SLC35E1,1.22047E-05,0.000559409
CD16 Mono,TEAD2,1.25381E-05,0.000573582
CD16 Mono,ZKSCAN5,1.25899E-05,0.000574842
CD16 Mono,ST3GAL1,1.37534E-05,0.000626759
CD16 Mono,QARS,1.38567E-05,0.000630254
CD16 Mono,OPLAH,1.41136E-05,0.000640348
CD16 Mono,CLEC7A,1.41327E-05,0.000640348
CD16 Mono,OSCP1,1.60846E-05,0.000726013
CD16 Mono,MCEMP1,1.60846E-05,0.000726013
CD16 Mono,ZBTB2,1.68842E-05,0.000760655
CD16 Mono,OTUD3,1.73875E-05,0.000778617
CD16 Mono,COX15,1.73875E-05,0.000778617
CD16 Mono,TRPM7,1.73875E-05,0.000778617
CD16 Mono,MIR4671,1.74143E-05,0.000778617
CD16 Mono,GLIS2,1.76047E-05,0.000785648
CD16 Mono,C3orf86,1.77064E-05,0.000788699
CD16 Mono,NR1H2,1.79046E-05,0.000796033
CD16 Mono,TTI2,1.81952E-05,0.000807439
CD16 Mono,IPO7,1.8552E-05,0.000821733
CD16 Mono,CDKN1B,1.90577E-05,0.000842557
CD16 Mono,ZNF750,1.97568E-05,0.00087184
CD16 Mono,ZNF687,1.99894E-05,0.000880462
CD16 Mono,HAT1,2.00593E-05,0.000881434
CD16 Mono,WDR18,2.00858E-05,0.000881434
CD16 Mono,MIR3178,2.16275E-05,0.000947335
CD16 Mono,ITPR2,2.22846E-05,0.000974314
CD16 Mono,YWHAG,2.27668E-05,0.000993563
CD16 Mono,TAGLN2,2.46201E-05,0.001072469
CD16 Mono,P2RY2,2.4731E-05,0.001074643
CD16 Mono,ZNF696,2.47607E-05,0.001074643
CD16 Mono,BEGAIN,2.4849E-05,0.0010765
CD16 Mono,HSF1,2.55905E-05,0.001105739
CD16 Mono,AHCY,2.56172E-05,0.001105739
CD16 Mono,GPSM3,2.60728E-05,0.001123358
CD16 Mono,PPP2R2A,2.75802E-05,0.001186147
CD16 Mono,GGA2,2.86917E-05,0.001231717
CD16 Mono,PHF19,2.88258E-05,0.001235235
CD16 Mono,HSPB1,2.96334E-05,0.001267551
CD16 Mono,NFKB2,3.14948E-05,0.001344741
CD16 Mono,TYMP,3.29799E-05,0.001405622
CD16 Mono,RAB7A,3.46176E-05,0.001472769
CD16 Mono,SLC5A3,3.55863E-05,0.001511271
CD16 Mono,SARDH,3.59856E-05,0.001525493
CD16 Mono,DDX6,3.67322E-05,0.001554363
CD16 Mono,MAP1S,3.79283E-05,0.001602117
CD16 Mono,TCTN1,3.85575E-05,0.001620107
CD16 Mono,CSTF1,3.85575E-05,0.001620107
CD16 Mono,RAB8B,3.85593E-05,0.001620107
CD16 Mono,PREB,3.96066E-05,0.001658164
CD16 Mono,KIF15,3.9675E-05,0.001658164
CD16 Mono,SPATA41,3.9675E-05,0.001658164
CD16 Mono,BLVRB,4.0526E-05,0.001690746
CD16 Mono,LINC00482,4.18918E-05,0.00174247
CD16 Mono,PRELID1,4.19128E-05,0.00174247
CD16 Mono,RPL28,4.21927E-05,0.001751035
CD16 Mono,EGFL7,4.35939E-05,0.00180602
CD16 Mono,SPATA13-AS1,4.39712E-05,0.001818473
CD16 Mono,TNFAIP8L1,4.4048E-05,0.001818478
CD16 Mono,GOLPH3,4.46584E-05,0.001840472
CD16 Mono,BAHCC1,4.53752E-05,0.001866765
CD16 Mono,RGS2,4.5849E-05,0.001882341
CD16 Mono,ZNF648,4.59148E-05,0.001882341
CD16 Mono,MAP7D1,4.59921E-05,0.001882341
CD16 Mono,HLA-A,4.61592E-05,0.001885921
CD16 Mono,IP6K2,4.70264E-05,0.001918048
CD16 Mono,ERGIC1,4.83245E-05,0.001967604
CD16 Mono,PLCD1,4.92923E-05,0.002003568
CD16 Mono,ADPRHL2,5.04474E-05,0.002047007
CD16 Mono,YWHAZ,5.44819E-05,0.002206938
CD16 Mono,RNF122,5.76113E-05,0.002329717
CD16 Mono,HLA-E,5.92508E-05,0.002391935
CD16 Mono,DAGLA,5.93858E-05,0.00239331
CD16 Mono,ITSN2,6.08976E-05,0.002450069
CD16 Mono,TLR6,6.11044E-05,0.00245422
CD16 Mono,SPATA12,6.20607E-05,0.002488415
CD16 Mono,RTL8A,6.28906E-05,0.002517431
CD16 Mono,ATF7IP,6.55073E-05,0.002617751
CD16 Mono,LINC00910,6.56664E-05,0.002619692
CD16 Mono,RAB22A,6.64893E-05,0.002635286
CD16 Mono,LOC100132057,6.65021E-05,0.002635286
CD16 Mono,LOC101928812,6.65021E-05,0.002635286
CD16 Mono,EFCAB6,6.65021E-05,0.002635286
CD16 Mono,LDLRAD4,6.84708E-05,0.002708768
CD16 Mono,BAZ1A,6.90827E-05,0.002728419
CD16 Mono,C22orf42,6.9773E-05,0.002751099
CD16 Mono,APP,7.08829E-05,0.002790221
CD16 Mono,ANKRD9,7.28801E-05,0.002864079
CD16 Mono,NDEL1,7.32464E-05,0.002873707
CD16 Mono,DCP2,7.3819E-05,0.002891387
CD16 Mono,IRAK2,7.41077E-05,0.002897905
CD16 Mono,MIR7114,7.59052E-05,0.002963304
CD16 Mono,GNLY,7.68978E-05,0.002997116
CD16 Mono,ERO1A,7.95497E-05,0.003095383
CD16 Mono,SNORA7B,8.05392E-05,0.003128748
CD16 Mono,MRPL45,8.36645E-05,0.003244841
CD16 Mono,KCTD13,8.3976E-05,0.003251602
CD16 Mono,ST14,8.49816E-05,0.003285168
CD16 Mono,NAAA,8.56001E-05,0.00330369
CD16 Mono,VPS37C,8.58325E-05,0.003307274
CD16 Mono,RPS9,8.69503E-05,0.003341809
CD16 Mono,ZNF100,8.71499E-05,0.003341809
CD16 Mono,HINFP,8.71519E-05,0.003341809
CD16 Mono,SPC24,8.86522E-05,0.003393848
CD16 Mono,YWHAQ,9.03986E-05,0.00345512
CD16 Mono,ACOT9,9.14011E-05,0.003487815
CD16 Mono,C22orf46,9.28593E-05,0.00353776
CD16 Mono,FAM49B,9.30566E-05,0.003539585
CD16 Mono,KCNQ1,9.43216E-05,0.003581952
CD16 Mono,PTP4A3,9.47387E-05,0.003592039
CD16 Mono,ARHGAP1,9.62037E-05,0.003641757
CD16 Mono,ZBTB8OS,9.72161E-05,0.003674209
CD16 Mono,CCT2,9.7506E-05,0.003679297
CD16 Mono,PHETA1,9.77873E-05,0.003684046
CD16 Mono,PRDM11,9.83392E-05,0.003698957
CD16 Mono,LINC01816,9.85376E-05,0.003700548
CD16 Mono,LINC01625,9.96779E-05,0.00373745
CD16 Mono,UBE2Z,0.000100325,0.00375054
CD16 Mono,PRPF3,0.000100344,0.00375054
CD16 Mono,FAM49A,0.000100889,0.003765003
CD16 Mono,NAT9,0.000102017,0.003795759
CD16 Mono,IFI16,0.000102034,0.003795759
CD16 Mono,DNASE2B,0.000102311,0.003800113
CD16 Mono,UQCRQ,0.000103199,0.003827068
CD16 Mono,PDK2,0.000104033,0.003851994
CD16 Mono,AP3B1,0.000106012,0.003919135
CD16 Mono,CARS,0.000114086,0.00421105
CD16 Mono,MIR6774,0.000115435,0.004254201
CD16 Mono,ARF1,0.000116208,0.004276064
CD16 Mono,ZNF267,0.000125,0.004592427
CD16 Mono,NR4A1,0.000126647,0.004640497
CD16 Mono,TIMM10B,0.0001267,0.004640497
CD16 Mono,MTFMT,0.000128693,0.004706218
CD16 Mono,JMJD6,0.000129875,0.004742149
CD16 Mono,ZCCHC7,0.000131156,0.004781558
CD16 Mono,CHD5,0.000135911,0.004947293
CD16 Mono,PHB,0.000139766,0.005079794
CD16 Mono,SZT2,0.000148025,0.005371738
CD16 Mono,RC3H1,0.000149181,0.005405402
CD16 Mono,GNL2,0.000150993,0.005454408
CD16 Mono,ZDHHC24,0.000150993,0.005454408
CD16 Mono,MAP1LC3B2,0.000157279,0.005672828
CD16 Mono,RHOC,0.000159163,0.005727939
CD16 Mono,MYO9B,0.000159291,0.005727939
CD16 Mono,BBS1,0.000163818,0.005872918
CD16 Mono,DNAAF3,0.000163818,0.005872918
CD16 Mono,WDR45B,0.0001668,0.005970798
CD16 Mono,LINC02139,0.000168238,0.006013164
CD16 Mono,RAB11FIP4,0.000169013,0.00603179
CD16 Mono,TSNAX-DISC1,0.000177546,0.006326794
CD16 Mono,XPNPEP1,0.000181487,0.006457493
CD16 Mono,SHC1,0.00018444,0.006533137
CD16 Mono,POLA2,0.00018444,0.006533137
CD16 Mono,BIRC5,0.00018444,0.006533137
CD16 Mono,LINC01431,0.000184778,0.006535339
CD16 Mono,ARHGAP30,0.000188244,0.006639978
CD16 Mono,C5AR2,0.000188297,0.006639978
CD16 Mono,ARFGEF2,0.00019107,0.006724791
CD16 Mono,NSD2,0.000191269,0.006724791
CD16 Mono,EEF2KMT,0.000193267,0.00678496
CD16 Mono,SSR1,0.00019405,0.006802368
CD16 Mono,GRB2,0.000195329,0.006837103
CD16 Mono,MELK,0.000196614,0.006861791
CD16 Mono,MFAP1,0.000196614,0.006861791
CD16 Mono,RRP1,0.000198893,0.006931125
CD16 Mono,SLTM,0.000200207,0.006966661
CD16 Mono,SIRPB2,0.000204392,0.00710188
CD16 Mono,AMZ2,0.000206404,0.007161285
CD16 Mono,METRNL,0.00020714,0.007176327
CD16 Mono,LINC01614,0.000207824,0.007189481
CD16 Mono,FOXO1,0.000219582,0.007585195
CD16 Mono,DUSP15,0.000221006,0.007623269
CD16 Mono,ISL2,0.000221668,0.007634996
CD16 Mono,SHANK3,0.000224766,0.00773046
CD16 Mono,ZNRF2,0.000227474,0.007812242
CD16 Mono,C12orf10,0.000232955,0.007988924
CD16 Mono,MIR661,0.000242898,0.008317867
