"Name","ID","Chr","Loc","Type"
"MRPL55","128308","1","1q42.13","protein-coding"
"GUK1","2987","1","1q42.13","protein-coding"
"GJC2","57165","1","1q42.13","protein-coding"
"IBA57-DT","574432","1","1q42.13","ncRNA"
"IBA57","200205","1","1q42.13","protein-coding"
"OBSCN","84033","1","1q42.13","protein-coding"
"OBSCN-AS1","574407","1","1q42.13","ncRNA"
"MIR6742","102465444","1","1q42.13","ncRNA"
"TRIM11","81559","1","1q42.13","protein-coding"
"TRIM17","51127","1","1q42.13","protein-coding"
"H2AC25","92815","1","1q42.13","protein-coding"
"H2BC26","128312","1","1q42.13","protein-coding"
"MIR4666A","100616308","1","1q42.13","ncRNA"
"RNF187","149603","1","1q42.13","protein-coding"
"RNA5S9","100169760","1","1q42.13","rRNA"
"RNA5S1","100169751","1","1q42.13","rRNA"
"RHOU","58480","1","1q42.13","protein-coding"
"RAB4A","5867","1","1q42.13","protein-coding"
"NULL","10638","NULL","NULL","NULL"
"CCSAP","126731","1","1q42.13","protein-coding"
"ACTA1","58","1","1q42.13","protein-coding"
"NUP133","55746","1","1q42.13","protein-coding"
"NUP133-DT","101927478","1","1q42.13","ncRNA"
"ABCB10","23456","1","1q42.13","protein-coding"
"TAF5L","27097","1","1q42.13","protein-coding"
"URB2","9816","1","1q42.13","protein-coding"
"LINC01736","101927532","1","1q42.13","ncRNA"
"GALNT2","2590","1","1q42.13","protein-coding"
"PGBD5","79605","1","1q42.13","protein-coding"
"COG2","22796","1","1q42.2","protein-coding"
"CAPN9","10753","1","1q42.2","protein-coding"
"AGT","183","1","1q42.2","protein-coding"
"C1orf198","84886","1","1q42.2","protein-coding"
"LOC101927604","101927604","1","1q42.2","ncRNA"
"TTC13","79573","1","1q42.2","protein-coding"
"ARV1","64801","1","1q42.2","protein-coding"
"MIR1182","100302132","1","1q42.2","ncRNA"
"FAM89A","375061","1","1q42.2","protein-coding"
"TRIM67","440730","1","1q42.2","protein-coding"
"TRIM67-AS1","149373","1","1q42.2","ncRNA"
"C1orf131","128061","1","1q42.2","protein-coding"
"GNPAT","8443","1","1q42.2","protein-coding"
"SPRTN","83932","1","1q42.2","protein-coding"
"EXOC8","149371","1","1q42.2","protein-coding"
"EGLN1","54583","1","1q42.2","protein-coding"
"TSNAX","7257","1","1q42.2","protein-coding"
"TSNAX-DISC1","100303453","1","1q42.2","ncRNA"
"LINC00582","100287814","1","1q42.2","ncRNA"
"DISC1","27185","1","1q42.2","protein-coding"
"DISC1-IT1","104472714","1","1q42.2","ncRNA"
"SIPA1L2","57568","1","1q42.2","protein-coding"
"LINC01744","101927683","1","1q42.2","ncRNA"
"MAP10","54627","1","1q42.2","protein-coding"
"NTPCR","84284","1","1q42.2","protein-coding"
"PCNX2","80003","1","1q42.2","protein-coding"
"MAP3K21","84451","1","1q42.2","protein-coding"
"KCNK1","3775","1","1q42.2","protein-coding"
"MIR4427","100616390","1","1q42.2","ncRNA"
"SLC35F3","148641","1","1q42.2","protein-coding"
"MIR4671","100616380","1","1q42.2","ncRNA"
"COA6","388753","1","1q42.2","protein-coding"
"COA6-AS1","101927765","1","1q42.2","ncRNA"
"TARBP1","6894","1","1q42.2","protein-coding"
"LINC01354","100506795","1","1q42.2","ncRNA"
"IRF2BP2","359948","1","1q42.3","protein-coding"
"LINC00184","100302691","1","1q42.3","ncRNA"
"LOC101927787","101927787","1","1q42.3","ncRNA"
"LINC01132","100506810","1","1q42.3","ncRNA"
"LNCATV","101927851","1","1q42.3","ncRNA"
"SNORA14B","677802","1","1q42.3","snoRNA"
"TOMM20","9804","1","1q42.3","protein-coding"
"RBM34","23029","1","1q42.3","protein-coding"
"MIR4753","100616224","1","1q42.3","ncRNA"
"GGPS1","9453","1","1q42.3","protein-coding"
"ARID4B","51742","1","1q42.3","protein-coding"
"TBCE","6905","1","1q42.3","protein-coding"
"B3GALNT2","148789","1","1q42.3","protein-coding"
"GNG4","2786","1","1q42.3","protein-coding"
"MIR1537","100302139","1","1q42.3","ncRNA"
"LYST","1130","1","1q42.3","protein-coding"
"NID1","4811","1","1q42.3","protein-coding"
"GPR137B","7107","1","1q42.3","protein-coding"
"ERO1B","56605","1","1q42.3","protein-coding"
"EDARADD","128178","1","1q42.3-q43","protein-coding"
"LGALS8","3964","1","1q43","protein-coding"
"LGALS8-AS1","100287902","1","1q43","ncRNA"
"HEATR1","55127","1","1q43","protein-coding"
"ACTN2","88","1","1q43","protein-coding"
"MTR","4548","1","1q43","protein-coding"
"MT1HL1","645745","1","1q43","protein-coding"
"RYR2","6262","1","1q43","protein-coding"
"MIR4428","100616141","1","1q43","ncRNA"
"LOC100130331","100130331","1","1q43","pseudo"
"ZP4","57829","1","1q43","protein-coding"
"LINC01139","339535","1","1q43","ncRNA"
"CHRM3","1131","1","1q43","protein-coding"
"CHRM3-AS2","100506915","1","1q43","ncRNA"
"CHRM3-AS1","100873984","1","1q43","ncRNA"
"FMN2","56776","1","1q43","protein-coding"
"GREM2","64388","1","1q43","protein-coding"
"MIR3123","100422856","1","1q43","ncRNA"
"RGS7","6000","1","c(""1q43"", ""1q23.1"")","protein-coding"
"FH","2271","1","1q43","protein-coding"
"KMO","8564","1","1q43","protein-coding"
"CHML","1122","1","1q43","protein-coding"
"WDR64","128025","1","1q43","protein-coding"
"OPN3","23596","1","1q43","protein-coding"
"EXO1","9156","1","1q43","protein-coding"
"BECN2","441925","1","1q43","protein-coding"
"MAP1LC3C","440738","1","1q43","protein-coding"
"PLD5","200150","1","1q43","protein-coding"
"CEP170","9859","1","1q43","protein-coding"
"SDCCAG8","10806","1","1q43-q44","protein-coding"
"MIR4677","100616343","1","1q43","ncRNA"
"AKT3","10000","1","1q43-q44","protein-coding"
"LINC02774","339529","1","1q44","ncRNA"
"ZBTB18","10472","1","1q44","protein-coding"
"C1orf100","200159","1","1q44","protein-coding"
"ADSS2","159","1","1q44","protein-coding"
"CATSPERE","257044","1","1q44","protein-coding"
"DESI2","51029","1","1q44","protein-coding"
"COX20","116228","1","1q44","protein-coding"
"HNRNPU","3192","1","1q44","protein-coding"
"EFCAB2","84288","1","1q44","protein-coding"
"KIF26B","55083","1","1q44","protein-coding"
"SMYD3","64754","1","1q44","protein-coding"
"LINC01743","255654","1","1q44","ncRNA"
"TFB2M","64216","1","1q44","protein-coding"
"CNST","163882","1","1q44","protein-coding"
"SCCPDH","51097","1","1q44","protein-coding"
"LINC01341","149134","1","1q44","ncRNA"
"AHCTF1","25909","1","1q44","protein-coding"
"ZNF695","57116","1","1q44","protein-coding"
"ZNF670","93474","1","1q44","protein-coding"
"ZNF670-ZNF695","100533111","1","1q44","ncRNA"
"ZNF669","79862","1","1q44","protein-coding"
"LINC02897","388759","1","1q44","ncRNA"
"ZNF124","7678","1","1q44","protein-coding"
"MIR3916","100500849","1","1q44","ncRNA"
"ZNF496","84838","1","1q44","protein-coding"
"NLRP3","114548","1","1q44","protein-coding"
"OR2B11","127623","1","1q44","protein-coding"
"GCSAML","148823","1","1q44","protein-coding"
"GCSAML-AS1","148824","1","1q44","ncRNA"
"OR2C3","81472","1","1q44","protein-coding"
"OR2G2","81470","1","1q44","protein-coding"
"OR2G3","81469","1","1q44","protein-coding"
"OR13G1","441933","1","1q44","protein-coding"
"OR6F1","343169","1","1q44","protein-coding"
"OR1C1","26188","1","1q44","protein-coding"
"OR11L1","391189","1","1q44","protein-coding"
"TRIM58","25893","1","1q44","protein-coding"
"OR2W3","343171","1","1q44","protein-coding"
"OR2T8","343172","1","1q44","protein-coding"
"OR2L13","284521","1","1q44","protein-coding"
"OR2AK2","391191","1","1q44","protein-coding"
"OR2L5","81466","1","1q44","protein-coding"
"OR2L3","391192","1","1q44","protein-coding"
"OR2M5","127059","1","1q44","protein-coding"
"OR2M4","26245","1","1q44","protein-coding"
"OR2T33","391195","1","1q44","protein-coding"
"OR2T12","127064","1","1q44","protein-coding"
"OR2M7","391196","1","1q44","protein-coding"
"OR2T4","127074","1","1q44","protein-coding"
"OR2T6","254879","1","1q44","protein-coding"
"OR2T1","26696","1","1q44","protein-coding"
"OR2T2","401992","1","1q44","protein-coding"
"OR2T5","401993","1","1q44","protein-coding"
"OR2T29","343563","1","1q44","protein-coding"
"OR2T34","127068","1","1q44","protein-coding"
"OR2T10","127069","1","1q44","protein-coding"
"OR2T11","127077","1","1q44","protein-coding"
"OR2T27","403239","1","1q44","protein-coding"
"OR14I1","401994","1","1q44","protein-coding"
"LYPD9P","101928226","1","1q44","pseudo"
"LYPD8","646627","1","1q44","protein-coding"
"SH3BP5L","80851","1","1q44","protein-coding"
"MIR3124","100422879","1","1q44","ncRNA"
"ZNF672","79894","1","1q44","protein-coding"
"ZNF692","55657","1","1q44","protein-coding"
"PGBD2","267002","1","1q44","protein-coding"
"FAM110C","642273","2","2p25.3","protein-coding"
"SH3YL1","26751","2","2p25.3","protein-coding"
"ACP1","52","2","2p25.3","protein-coding"
"ALKAL2","285016","2","2p25.3","protein-coding"
"TMEM18","129787","2","2p25.3","protein-coding"
"LINC01115","339822","2","2p25.3","ncRNA"
"LINC01939","101060385","2","2p25.3","ncRNA"
"SNTG2","54221","2","2p25.3","protein-coding"
"TPO","7173","2","2p25.3","protein-coding"
"PXDN","7837","2","2p25.3","protein-coding"
"MYT1L-AS1","730811","2","2p25.3","ncRNA"
"MYT1L","23040","2","2p25.3","protein-coding"
"LINC01250","101927554","2","2p25.3","ncRNA"
"EIPR1","7260","2","2p25.3","protein-coding"
"TRAPPC12","51112","2","2p25.3","protein-coding"
"ADI1","55256","2","2p25.3","protein-coding"
"RNASEH1-DT","100506054","2","2p25.3","ncRNA"
"RNASEH1","246243","2","2p25.3","protein-coding"
"RPS7","6201","2","2p25.3","protein-coding"
"COLEC11","78989","2","2p25.3","protein-coding"
"ALLC","55821","2","2p25.3","protein-coding"
"DCDC2C","728597","2","2p25.3","protein-coding"
"LINC01304","100505964","2","2p25.3","ncRNA"
"LINC01249","727982","2","2p25.2","ncRNA"
"LINC01248","102723818","2","2p25.2","ncRNA"
"SOX11","6664","2","2p25.2","protein-coding"
"SILC1","150622","2","2p25.2","ncRNA"
"LOC400940","400940","2","2p25.2","ncRNA"
"MIR7158","102465693","2","2p25.2","ncRNA"
"LINC01247","101929390","2","2p25.2","ncRNA"
"LINC01246","102800315","2","2p25.2","ncRNA"
"MIR7515HG","102800314","2","2p25.2","ncRNA"
"LINC00487","400941","2","2p25.2","ncRNA"
"NRIR","104326052","2","2p25.2","ncRNA"
"RSAD2","91543","2","2p25.2","protein-coding"
"CMPK2","129607","2","2p25.2","protein-coding"
"RNF144A","9781","2","2p25.1","protein-coding"
"GRASLND","386597","2","2p25.1","ncRNA"
"LOC101929452","101929452","2","2p25.1","ncRNA"
"LOC100506274","100506274","2","2p25.1","ncRNA"
"LOC101929551","101929551","2","2p25.1","ncRNA"
"LINC00298","339788","2","2p25.1","ncRNA"
"LINC00299","339789","2","2p25.1","ncRNA"
"LINC01814","101929567","2","2p25.1","ncRNA"
"ID2","3398","2","2p25.1","protein-coding"
"ID2-AS1","100506299","2","2p25.1","ncRNA"
"KIDINS220","57498","2","2p25.1","protein-coding"
"MBOAT2","129642","2","2p25.1","protein-coding"
"ASAP2","8853","2","c(""2p25.1"", ""2p24"")","protein-coding"
"ITGB1BP1","9270","2","2p25.1","protein-coding"
"CPSF3","51692","2","2p25.1","protein-coding"
"IAH1","285148","2","2p25.1","protein-coding"
"ADAM17","6868","2","2p25.1","protein-coding"
"YWHAQ","10971","2","2p25.1","protein-coding"
"TAF1B","9014","2","2p25.1","protein-coding"
"GRHL1","29841","2","2p25.1","protein-coding"
"KLF11","8462","2","2p25.1","protein-coding"
"CYS1","192668","2","2p25.1","protein-coding"
"RRM2","6241","2","2p25.1","protein-coding"
"NULL","348738","NULL","NULL","NULL"
"MIR4261","100422929","2","2p25.1","ncRNA"
"HPCAL1","3241","2","2p25.1","protein-coding"
"SNORA80B","100302743","2","2p25.1","snoRNA"
"ODC1","4953","2","2p25.1","protein-coding"
"ODC1-DT","101929715","2","2p25.1","ncRNA"
"NOL10","79954","2","2p25.1","protein-coding"
"ATP6V1C2","245973","2","2p25.1","protein-coding"
"PDIA6","10130","2","2p25.1","protein-coding"
"LINC01954","101929733","2","2p25.1","ncRNA"
"KCNF1","3754","2","2p25.1","protein-coding"
"FLJ33534","285150","2","2p25.1","ncRNA"
"C2orf50","130813","2","2p25.1","protein-coding"
"SLC66A3","130814","2","2p25.1","protein-coding"
"ROCK2","9475","2","2p25.1","protein-coding"
"LINC00570","100874055","2","2p25.1","ncRNA"
"E2F6","1876","2","2p25.1","protein-coding"
"GREB1","9687","2","2p25.1","protein-coding"
"MIR4429","100616469","2","2p25.1","ncRNA"
"NTSR2","23620","2","2p25.1","protein-coding"
"LPIN1","23175","2","2p25.1","protein-coding"
"MIR548S","100422862","2","2p25.1","ncRNA"
"MIR4262","100422996","2","2p25.1","ncRNA"
"MIR3681HG","100506457","2","2p24.3","ncRNA"
"MIR3681","100500884","2","2p24.3","ncRNA"
"TRIB2","28951","2","2p24.3","protein-coding"
"MIR3125","100422986","2","2p24.3","ncRNA"
"LOC100506474","100506474","2","2p24.3","ncRNA"
"LINC00276","100499171","2","2p24.3","ncRNA"
"LRATD1","151354","2","2p24.3","protein-coding"
"NULL","653602","NULL","NULL","NULL"
"NBAS","51594","2","2p24.3","protein-coding"
"DDX1","1653","2","2p24.3","protein-coding"
"LINC01804","101926966","2","2p24.3","ncRNA"
"MYCNUT","103752554","2","2p24.3","ncRNA"
"MYCN","4613","2","2p24.3","protein-coding"
"MYCNOS","10408","2","2p24.3","ncRNA"
"GACAT3","104797537","2","2p24.3","ncRNA"
"CYRIA","81553","2","2p24.2","protein-coding"
"VSNL1","7447","2","2p24.2","protein-coding"
"GEN1","348654","2","2p24.2","protein-coding"
"SMC6","79677","2","2p24.2","protein-coding"
"MSGN1","343930","2","2p24.2","protein-coding"
"KCNS3","3790","2","2p24.2","protein-coding"
"RDH14","57665","2","2p24.2","protein-coding"
"NT5C1B","93034","2","2p24.2","protein-coding"
"LINC01376","400945","2","2p24.2-p24.1","ncRNA"
"MIR4757","100616307","2","2p24.1","ncRNA"
"OSR1","130497","2","2p24.1","protein-coding"
"LINC00954","400946","2","2p24.1","ncRNA"
"TTC32","130502","2","2p24.1","protein-coding"
"WDR35","57539","2","2p24.1","protein-coding"
"WDR35-DT","101928222","2","2p24.1","ncRNA"
"MATN3","4148","2","2p24.1","protein-coding"
"LAPTM4A","9741","2","2p24.1","protein-coding"
"SDC1","6382","2","2p24.1","protein-coding"
"PUM2","23369","2","2p24.1","protein-coding"
"RHOB","388","2","2p24.1","protein-coding"
"HS1BP3-IT1","100874343","2","2p24.1","ncRNA"
"HS1BP3","64342","2","2p24.1","protein-coding"
"GDF7","151449","2","2p24.1","protein-coding"
"LDAH","60526","2","2p24.1","protein-coding"
"APOB","338","2","2p24.1","protein-coding"
"TDRD15","100129278","2","2p24.1","protein-coding"
"LINC01822","645949","2","2p24.1","ncRNA"
"LINC01884","102723362","2","2p24.1","ncRNA"
"KLHL29","114818","2","2p24.1","protein-coding"
"ATAD2B","54454","2","2p24.1-p23.3","protein-coding"
"UBXN2A","165324","2","2p23.3","protein-coding"
"MFSD2B","388931","2","2p23.3","protein-coding"
"FKBP1B","2281","2","2p23.3","protein-coding"
"WDCP","80304","2","2p23.3","protein-coding"
"SF3B6","51639","2","2p23.3","protein-coding"
"FAM228B","375190","2","2p23.3","protein-coding"
"TP53I3","9540","2","2p23.3","protein-coding"
"PFN4","375189","2","2p23.3","protein-coding"
"FAM228A","653140","2","2p23.3","protein-coding"
"ITSN2","50618","2","2p23.3","protein-coding"
"NCOA1","8648","2","2p23.3","protein-coding"
"CENPO","79172","2","2p23.3","protein-coding"
"PTRHD1","391356","2","2p23.3","protein-coding"
"ADCY3","109","2","2p23.3","protein-coding"
"DNAJC27-AS1","729723","2","2p23.3","ncRNA"
"DNAJC27","51277","2","2p23.3","protein-coding"
"EFR3B","22979","2","2p23.3","protein-coding"
"POMC","5443","2","2p23.3","protein-coding"
"LINC01381","106144568","2","2p23.3","ncRNA"
"MIR1301","100302246","2","2p23.3","ncRNA"
"DNMT3A","1788","2","2p23.3","protein-coding"
"DTNB","1838","2","2p23.3","protein-coding"
"ASXL2","55252","2","2p23.3","protein-coding"
"KIF3C","3797","2","2p23.3","protein-coding"
"RAB10","10890","2","2p23.3","protein-coding"
"GAREM2","150946","2","2p23.3","protein-coding"
"HADHB","3032","2","2p23.3","protein-coding"
"HADHA","3030","2","2p23.3","protein-coding"
"SELENOI","85465","2","2p23.3","protein-coding"
"ADGRF3","165082","2","2p23.3","protein-coding"
"DRC1","92749","2","2p23.3","protein-coding"
"OTOF","9381","2","2p23.3","protein-coding"
"FAM166C","339778","2","2p23.3","protein-coding"
"CIB4","130106","2","2p23.3","protein-coding"
"KCNK3","3777","2","2p23.3","protein-coding"
"SLC35F6","54978","2","2p23.3","protein-coding"
"CENPA","1058","2","2p23.3","protein-coding"
"DPYSL5","56896","2","2p23.3","protein-coding"
"MAPRE3","22924","2","2p23.3","protein-coding"
"TMEM214","54867","2","2p23.3","protein-coding"
"AGBL5","60509","2","2p23.3","protein-coding"
"OST4","100128731","2","2p23.3","protein-coding"
"EMILIN1","11117","2","2p23.3","protein-coding"
"KHK","3795","2","2p23.3","protein-coding"
"CGREF1","10669","2","2p23.3","protein-coding"
"ABHD1","84696","2","2p23.3","protein-coding"
"PREB","10113","2","2p23.3","protein-coding"
"PRR30","339779","2","2p23.3","protein-coding"
"TCF23","150921","2","2p23.3","protein-coding"
"ATRAID","51374","2","2p23.3","protein-coding"
"SLC5A6","8884","2","2p23.3","protein-coding"
"CAD","790","2","2p23.3","protein-coding"
"DNAJC5G","285126","2","2p23.3","protein-coding"
"TRIM54","57159","2","2p23.3","protein-coding"
"UCN","7349","2","2p23.3","protein-coding"
"MPV17","4358","2","2p23.3","protein-coding"
"GTF3C2","2976","2","2p23.3","protein-coding"
"EIF2B4","8890","2","2p23.3","protein-coding"
"SNX17","9784","2","2p23.3","protein-coding"
"ZNF513","130557","2","2p23.3","protein-coding"
"PPM1G","5496","2","2p23.3","protein-coding"
"NRBP1","29959","2","2p23.3","protein-coding"
"KRTCAP3","200634","2","2p23.3","protein-coding"
"IFT172","26160","2","2p23.3","protein-coding"
"FNDC4","64838","2","2p23.3","protein-coding"
"GCKR","2646","2","2p23.3","protein-coding"
"C2orf16","84226","2","2p23.3","protein-coding"
"ZNF512","84450","2","2p23.3","protein-coding"
"GPN1","11321","2","2p23.3","protein-coding"
"CCDC121","79635","2","2p23.3","protein-coding"
"SLC4A1AP","22950","2","2p23.3","protein-coding"
"SUPT7L","9913","2","2p23.3","protein-coding"
"LINC01460","100129995","2","2p23.2","ncRNA"
"MRPL33","9553","2","2p23.2","protein-coding"
"BABAM2","9577","2","2p23.2","protein-coding"
"RBKS","64080","2","2p23.2","protein-coding"
"MIR4263","100422965","2","2p23.2","ncRNA"
"LOC100505716","100505716","2","2p23.2","ncRNA"
"FOSL2","2355","2","2p23.2","protein-coding"
"FOSL2-AS1","403150","2","2p23.2","ncRNA"
"PLB1","151056","2","2p23.2","protein-coding"
"PPP1CB","5500","2","2p23.2","protein-coding"
"SPDYA","245711","2","2p23.2","protein-coding"
"TRMT61B","55006","2","2p23.2","protein-coding"
"WDR43","23160","2","2p23.2","protein-coding"
"SNORD92","692209","2","2p23.2","snoRNA"
"SNORD53","26796","2","2p23.2","snoRNA"
"TOGARAM2","165186","2","2p23.2","protein-coding"
"PCARE","388939","2","2p23.2","protein-coding"
"CLIP4","79745","2","2p23.2","protein-coding"
"ALK","238","2","2p23.2-p23.1","protein-coding"
"YPEL5","51646","2","2p23.1","protein-coding"
"LBH","81606","2","2p23.1","protein-coding"
"LINC01936","285043","2","2p23.1","ncRNA"
"LCLAT1","253558","2","2p23.1","protein-coding"
"CAPN13","92291","2","2p23.1","protein-coding"
"GALNT14","79623","2","2p23.1","protein-coding"
"CAPN14","440854","2","2p23.1","protein-coding"
"EHD3","30845","2","2p23.1","protein-coding"
"XDH","7498","2","2p23.1","protein-coding"
"SRD5A2","6716","2","2p23.1","protein-coding"
"MEMO1","51072","2","2p22.3","protein-coding"
"DPY30","84661","2","2p22.3","protein-coding"
"SPAST","6683","2","2p22.3","protein-coding"
"SLC30A6","55676","2","2p22.3","protein-coding"
"NLRC4","58484","2","2p22.3","protein-coding"
"YIPF4","84272","2","2p22.3","protein-coding"
"BIRC6","57448","2","2p22.3","protein-coding"
"MIR558","693143","2","2p22.3","ncRNA"
"BIRC6-AS2","103752586","2","2p22.3","ncRNA"
"TTC27","55622","2","2p22.3","protein-coding"
"MIR4765","100616219","2","2p22.3","ncRNA"
"LINC00486","285045","2","2p22.3","ncRNA"
"LOC100271832","100271832","2","2p22.3","ncRNA"
"LTBP1","4052","2","2p22.3","protein-coding"
"RASGRP3","25780","2","2p22.3","protein-coding"
"FAM98A","25940","2","2p22.3","protein-coding"
"LINC01317","104355287","2","2p22.3","ncRNA"
"LINC01318","106144585","2","2p22.3","ncRNA"
"LINC01320","104355288","2","2p22.3","ncRNA"
"MIR548AD","100616475","2","2p22.3","ncRNA"
"CRIM1","51232","2","2p22.2","protein-coding"
"FEZ2","9637","2","2p22.2","protein-coding"
"VIT","5212","2","2p22.2","protein-coding"
"STRN","6801","2","2p22.2","protein-coding"
"HEATR5B","54497","2","2p22.2","protein-coding"
"GPATCH11","253635","2","2p22.2","protein-coding"
"EIF2AK2","5610","2","2p22.2","protein-coding"
"CEBPZOS","100505876","2","2p22.2","protein-coding"
"SULT6B1","391365","2","2p22.2","protein-coding"
"NDUFAF7","55471","2","2p22.2","protein-coding"
"CEBPZ","10153","2","2p22.2","protein-coding"
"PRKD3","23683","2","2p22.2","protein-coding"
"QPCT","25797","2","2p22.2","protein-coding"
"CDC42EP3","10602","2","2p22.2","protein-coding"
"PIRAT1","101929559","2","2p22.2","ncRNA"
"RMDN2","151393","2","2p22.2","protein-coding"
"RMDN2-AS1","101410544","2","2p22.2","ncRNA"
"CYP1B1-AS1","285154","2","2p22.2","ncRNA"
"CYP1B1","1545","2","2p22.2","protein-coding"
"ATL2","64225","2","2p22.2-p22.1","protein-coding"
"LINC02613","101929596","2","2p22.1","ncRNA"
"HNRNPLL","92906","2","2p22.1","protein-coding"
"GALM","130589","2","2p22.1","protein-coding"
"SRSF7","6432","2","2p22.1","protein-coding"
"GEMIN6","79833","2","2p22.1","protein-coding"
"DHX57","90957","2","2p22.1","protein-coding"
"MORN2","729967","2","2p22.1","protein-coding"
"ARHGEF33","100271715","2","2p22.1","protein-coding"
"LOC375196","375196","2","2p22.1","ncRNA"
"SOS1","6654","2","2p22.1","protein-coding"
"CDKL4","344387","2","2p22.1","protein-coding"
"MAP4K3-DT","728730","2","2p22.1","ncRNA"
"MAP4K3","8491","2","2p22.1","protein-coding"
"TMEM178A","130733","2","2p22.1","protein-coding"
"THUMPD2","80745","2","c(""2p22.1"", ""2p22-p21"")","protein-coding"
"SLC8A1-AS1","100128590","2","2p22.1","ncRNA"
"SLC8A1","6546","2","2p22.1","protein-coding"
"LINC01913","388942","2","2p21","ncRNA"
"LINC01914","101929723","2","2p21","ncRNA"
"LINC02898","400950","2","2p21","ncRNA"
"PKDCC","91461","2","2p21","protein-coding"
"EML4","27436","2","2p21","protein-coding"
"EML4-AS1","102723824","2","2p21","ncRNA"
"COX7A2L","9167","2","2p21","protein-coding"
"KCNG3","170850","2","2p21","protein-coding"
"MTA3","57504","2","2p21","protein-coding"
"OXER1","165140","2","2p21","protein-coding"
"HAAO","23498","2","2p21","protein-coding"
"LINC01819","102723854","2","2p21","ncRNA"
"ZFP36L2","678","2","2p21","protein-coding"
"LINC01126","100129726","2","2p21","ncRNA"
"THADA","63892","2","2p21","protein-coding"
"PLEKHH2","130271","2","2p21","protein-coding"
"C1GALT1C1L","728819","2","2p21","protein-coding"
"DYNC2LI1","51626","2","2p21","protein-coding"
"ABCG5","64240","2","2p21","protein-coding"
"ABCG8","64241","2","2p21","protein-coding"
"LRPPRC","10128","2","2p21","protein-coding"
"PPM1B","5495","2","2p21","protein-coding"
"SLC3A1","6519","2","2p21","protein-coding"
"PREPL","9581","2","2p21","protein-coding"
"CAMKMT","79823","2","2p21","protein-coding"
"SIX3-AS1","100506108","2","2p21","ncRNA"
"SIX3","6496","2","2p21","protein-coding"
"SIX2","10736","2","2p21","protein-coding"
"LINC01121","400952","2","2p21","ncRNA"
"SRBD1","55133","2","2p21","protein-coding"
"PRKCE","5581","2","2p21","protein-coding"
"EPAS1","2034","2","2p21","protein-coding"
"LINC02583","101805491","2","2p21","ncRNA"
"TMEM247","388946","2","2p21","protein-coding"
"RHOQ","23433","2","2p21","protein-coding"
"ATP6V1E2","90423","2","c(""2p21"", ""2p16-p12"")","protein-coding"
"RHOQ-AS1","100506142","2","2p21","ncRNA"
"CRIPT","9419","2","2p21","protein-coding"
"PIGF","5281","2","2p21","protein-coding"
"SOCS5","9655","2","2p21","protein-coding"
"LINC01118","388948","2","2p21","ncRNA"
"LINC01119","100134259","2","2p21","ncRNA"
"TTC7A","57217","2","2p21","protein-coding"
"MCFD2","90411","2","2p21","protein-coding"
"STPG4","285051","2","2p21","protein-coding"
"CALM2","805","2","2p21","protein-coding"
"BCYRN1","618","2","2p21","ncRNA"
"MIR559","693144","2","2p21","ncRNA"
"MSH2","4436","2","2p21-p16.3","protein-coding"
"MSH2-OT1","644093","2","2p16.3","ncRNA"
"KCNK12","56660","2","2p16.3","protein-coding"
"MSH6","2956","2","2p16.3","protein-coding"
"FBXO11","80204","2","2p16.3","protein-coding"
"FOXN2","3344","2","2p16.3","protein-coding"
"PPP1R21","129285","2","2p16.3","protein-coding"
"STON1-GTF2A1L","286749","2","2p16.3","protein-coding"
"STON1","11037","2","2p16.3","protein-coding"
"GTF2A1L","11036","2","2p16.3","protein-coding"
"LHCGR","3973","2","2p16.3","protein-coding"
"FSHR","2492","2","2p16.3","protein-coding"
"MIR8485","103504737","2","2p16.3","ncRNA"
"LOC730100","730100","2","2p16.3","ncRNA"
"NRXN1","9378","2","2p16.3","protein-coding"
"LINC01867","105374596","2","2p16.3","ncRNA"
"MIR4431","100616431","2","2p16.2","ncRNA"
"CHAC2","494143","2","2p16.2","protein-coding"
"ASB3","51130","2","2p16.2","protein-coding"
"ERLEC1","27248","2","2p16.2","protein-coding"
"MIR3682","100500850","2","2p16.2","ncRNA"
"GPR75","10936","2","2p16.2","protein-coding"
"GPR75-ASB3","100302652","2","2p16.2","protein-coding"
"ACYP2","98","2","2p16.2","protein-coding"
"PSME4","23198","2","2p16.2","protein-coding"
"TSPYL6","388951","2","2p16.2","protein-coding"
"C2orf73","129852","2","2p16.2","protein-coding"
"SPTBN1","6711","2","2p16.2","protein-coding"
"EML6","400954","2","2p16.1","protein-coding"
"RTN4","57142","2","2p16.1","protein-coding"
"RPS27A","6233","2","2p16.1","protein-coding"
"CLHC1","130162","2","2p16.1","protein-coding"
"MTIF2","4528","2","2p16.1","protein-coding"
"CCDC88A","55704","2","2p16.1","protein-coding"
"CFAP36","112942","2","2p16.1","protein-coding"
"PPP4R3B","57223","2","2p16.1","protein-coding"
"PNPT1","87178","2","2p16.1","protein-coding"
"EFEMP1","2202","2","2p16.1","protein-coding"
"MIR217","406999","2","2p16.1","ncRNA"
"MIR216A","406998","2","2p16.1","ncRNA"
"MIR217HG","104355290","2","2p16.1","ncRNA"
"CCDC85A","114800","2","2p16.1","protein-coding"
"LOC100129434","100129434","2","2p16.1","ncRNA"
"VRK2","7444","2","2p16.1","protein-coding"
"FANCL","55120","2","2p16.1","protein-coding"
"LINC01122","400955","2","2p16.1","ncRNA"
